INFO:root:Trial 0: n_fft=8192, hop_length=2730, n_mels=30, n_mfcc=16, MSE=4727.75048828125, Threshold=37.84666419029236
INFO:root:Trial 30: n_fft=1024, hop_length=341, n_mels=30, n_mfcc=48, MSE=2520.37353515625, Threshold=51.80713963508606
INFO:root:Trial 31: n_fft=8192, hop_length=2048, n_mels=50, n_mfcc=60, MSE=2515.458251953125, Threshold=27.179097414016724
INFO:root:Trial 32: n_fft=4096, hop_length=1024, n_mels=60, n_mfcc=60, MSE=2513.15771484375, Threshold=34.294212989509106
INFO:root:Trial 33: n_fft=4096, hop_length=1024, n_mels=60, n_mfcc=56, MSE=2692.6689453125, Threshold=35.49326068907976
INFO:root:Trial 34: n_fft=4096, hop_length=1024, n_mels=70, n_mfcc=60, MSE=2930.042236328125, Threshold=37.10758017748594
INFO:root:Trial 35: n_fft=4096, hop_length=1024, n_mels=70, n_mfcc=56, MSE=3139.328125, Threshold=38.400222316384315
INFO:root:Trial 36: n_fft=4096, hop_length=1024, n_mels=80, n_mfcc=52, MSE=3862.10400390625, Threshold=42.67193615436554
INFO:root:Trial 37: n_fft=4096, hop_length=1024, n_mels=40, n_mfcc=32, MSE=3147.65869140625, Threshold=38.46471530199051
INFO:root:Trial 38: n_fft=256, hop_length=64, n_mels=60, n_mfcc=48, MSE=3140.33251953125, Threshold=79.33362674713135
INFO:root:Trial 39: n_fft=2048, hop_length=682, n_mels=120, n_mfcc=56, MSE=5372.84130859375, Threshold=62.71955680847168
INFO:root:Trial 40: n_fft=8192, hop_length=2048, n_mels=50, n_mfcc=60, MSE=2515.458251953125, Threshold=27.179097414016724
INFO:root:Trial 41: n_fft=8192, hop_length=2048, n_mels=50, n_mfcc=60, MSE=2515.458251953125, Threshold=27.179097414016724
INFO:root:Trial 42: n_fft=8192, hop_length=2048, n_mels=60, n_mfcc=56, MSE=2692.68408203125, Threshold=28.066194593906403
INFO:root:Trial 43: n_fft=8192, hop_length=2048, n_mels=70, n_mfcc=60, MSE=2930.07373046875, Threshold=29.32095104455948
INFO:root:Trial 44: n_fft=8192, hop_length=2048, n_mels=20, n_mfcc=56, MSE=2526.987548828125, Threshold=27.481289625167847
INFO:root:Trial 45: n_fft=256, hop_length=64, n_mels=30, n_mfcc=52, MSE=2518.75537109375, Threshold=69.40020084381104
INFO:root:Trial 46: n_fft=2048, hop_length=512, n_mels=40, n_mfcc=60, MSE=2517.9794921875, Threshold=42.43609130382538
INFO:root:Trial 47: n_fft=512, hop_length=128, n_mels=50, n_mfcc=48, MSE=2619.493408203125, Threshold=62.95937633514404
INFO:root:Trial 48: n_fft=1024, hop_length=341, n_mels=40, n_mfcc=56, MSE=2517.4931640625, Threshold=52.06598925590515
INFO:root:Trial 49: n_fft=8192, hop_length=2048, n_mels=60, n_mfcc=24, MSE=6282.82080078125, Threshold=43.83517599105835
INFO:root:Trial 0: n_fft=512, hop_length=128, n_mels=90, n_mfcc=36, MSE=6272.99365234375, Threshold=97.20635509490967
INFO:root:Trial 1: n_fft=8192, hop_length=2730, n_mels=20, n_mfcc=52, MSE=2526.982421875, Threshold=27.495970129966736
INFO:root:Trial 2: n_fft=2048, hop_length=512, n_mels=20, n_mfcc=60, MSE=2526.248046875, Threshold=41.90137755870819
INFO:root:Trial 3: n_fft=2048, hop_length=512, n_mels=40, n_mfcc=60, MSE=2517.9794921875, Threshold=42.43609130382538
INFO:root:Trial 4: n_fft=256, hop_length=128, n_mels=100, n_mfcc=16, MSE=15674.2451171875, Threshold=169.92207145690918
INFO:root:Trial 5: n_fft=256, hop_length=128, n_mels=90, n_mfcc=32, MSE=7055.6005859375, Threshold=118.04418849945068
INFO:root:Trial 6: n_fft=512, hop_length=256, n_mels=100, n_mfcc=44, MSE=5700.95751953125, Threshold=93.28129625320435
INFO:root:Trial 7: n_fft=2048, hop_length=512, n_mels=40, n_mfcc=52, MSE=2517.9794921875, Threshold=42.43609130382538
INFO:root:Trial 8: n_fft=256, hop_length=64, n_mels=80, n_mfcc=44, MSE=4562.927734375, Threshold=95.71106243133545
INFO:root:Trial 9: n_fft=512, hop_length=128, n_mels=120, n_mfcc=12, MSE=25067.875, Threshold=185.7926959991455
INFO:root:Trial 10: n_fft=4096, hop_length=1365, n_mels=50, n_mfcc=24, MSE=5240.4169921875, Threshold=49.841424345970154
INFO:root:Trial 11: n_fft=2048, hop_length=682, n_mels=50, n_mfcc=60, MSE=2515.36669921875, Threshold=42.56577008962631
INFO:root:Trial 12: n_fft=2048, hop_length=682, n_mels=60, n_mfcc=60, MSE=2513.1025390625, Threshold=42.63102585077286
INFO:root:Trial 13: n_fft=1024, hop_length=341, n_mels=60, n_mfcc=52, MSE=2899.54931640625, Threshold=56.23041486740112
INFO:root:Trial 14: n_fft=2048, hop_length=682, n_mels=70, n_mfcc=60, MSE=2930.028076171875, Threshold=46.11885505914688
INFO:root:Trial 15: n_fft=2048, hop_length=682, n_mels=60, n_mfcc=44, MSE=3426.94970703125, Threshold=49.62172877788544
INFO:root:Trial 16: n_fft=4096, hop_length=1365, n_mels=40, n_mfcc=52, MSE=2518.116455078125, Threshold=34.324000269174576
INFO:root:Trial 17: n_fft=1024, hop_length=512, n_mels=60, n_mfcc=28, MSE=5384.9228515625, Threshold=75.79506158828735
INFO:root:Trial 18: n_fft=8192, hop_length=2730, n_mels=30, n_mfcc=56, MSE=2521.49560546875, Threshold=27.502564787864685
INFO:root:Trial 19: n_fft=2048, hop_length=1024, n_mels=70, n_mfcc=40, MSE=4395.02197265625, Threshold=56.184619307518005
INFO:root:Trial 20: n_fft=2048, hop_length=682, n_mels=50, n_mfcc=48, MSE=2620.173583984375, Threshold=43.42806679010391
INFO:root:Trial 21: n_fft=2048, hop_length=682, n_mels=40, n_mfcc=60, MSE=2517.9716796875, Threshold=42.46330165863037
INFO:root:Trial 22: n_fft=2048, hop_length=682, n_mels=50, n_mfcc=56, MSE=2515.36669921875, Threshold=42.56577008962631
INFO:root:Trial 23: n_fft=2048, hop_length=682, n_mels=50, n_mfcc=56, MSE=2515.36669921875, Threshold=42.56577008962631
INFO:root:Trial 24: n_fft=2048, hop_length=682, n_mels=70, n_mfcc=56, MSE=3139.3125, Threshold=47.69301700592041
INFO:root:Trial 25: n_fft=2048, hop_length=682, n_mels=30, n_mfcc=48, MSE=2521.16845703125, Threshold=42.41377770900726
INFO:root:Trial 26: n_fft=8192, hop_length=2730, n_mels=60, n_mfcc=56, MSE=2692.68115234375, Threshold=28.079159200191498
INFO:root:Trial 27: n_fft=1024, hop_length=512, n_mels=50, n_mfcc=48, MSE=2619.95703125, Threshold=53.305007219314575
INFO:root:Trial 28: n_fft=2048, hop_length=682, n_mels=80, n_mfcc=60, MSE=3347.09033203125, Threshold=49.37303030490875
INFO:root:Trial 29: n_fft=4096, hop_length=1024, n_mels=80, n_mfcc=36, MSE=5578.537109375, Threshold=51.2454923838377
INFO:root:Trial 30: n_fft=512, hop_length=170, n_mels=30, n_mfcc=40, MSE=2519.577880859375, Threshold=60.79456329345703
INFO:root:Trial 31: n_fft=2048, hop_length=682, n_mels=50, n_mfcc=56, MSE=2515.36669921875, Threshold=42.56577008962631
INFO:root:Trial 32: n_fft=2048, hop_length=682, n_mels=50, n_mfcc=56, MSE=2515.36669921875, Threshold=42.56577008962631
INFO:root:Trial 33: n_fft=2048, hop_length=682, n_mels=60, n_mfcc=52, MSE=2899.732421875, Threshold=45.73884296417236
INFO:root:Trial 34: n_fft=2048, hop_length=682, n_mels=20, n_mfcc=60, MSE=2526.234619140625, Threshold=41.93126106262207
INFO:root:Trial 35: n_fft=8192, hop_length=2730, n_mels=40, n_mfcc=56, MSE=2518.179443359375, Threshold=27.29150402545929
INFO:root:Trial 36: n_fft=2048, hop_length=512, n_mels=50, n_mfcc=60, MSE=2515.365478515625, Threshold=42.5430468916893
INFO:root:Trial 37: n_fft=256, hop_length=64, n_mels=60, n_mfcc=60, MSE=2512.2783203125, Threshold=71.41738796234131
INFO:root:Trial 38: n_fft=256, hop_length=64, n_mels=70, n_mfcc=60, MSE=2929.2314453125, Threshold=77.27881503105164
INFO:root:Trial 39: n_fft=256, hop_length=64, n_mels=70, n_mfcc=20, MSE=8787.373046875, Threshold=128.83705234527588
INFO:root:Trial 40: n_fft=256, hop_length=64, n_mels=90, n_mfcc=52, MSE=4342.02099609375, Threshold=93.98282098770142
INFO:root:Trial 41: n_fft=256, hop_length=64, n_mels=60, n_mfcc=60, MSE=2512.2783203125, Threshold=71.41738796234131
INFO:root:Trial 42: n_fft=256, hop_length=64, n_mels=60, n_mfcc=60, MSE=2512.2783203125, Threshold=71.41738796234131
INFO:root:Trial 43: n_fft=256, hop_length=64, n_mels=60, n_mfcc=60, MSE=2512.2783203125, Threshold=71.41738796234131
INFO:root:Trial 44: n_fft=256, hop_length=64, n_mels=80, n_mfcc=60, MSE=3346.177490234375, Threshold=82.73333501815796
INFO:root:Trial 45: n_fft=256, hop_length=64, n_mels=60, n_mfcc=52, MSE=2898.775146484375, Threshold=76.40379524230957
INFO:root:Trial 46: n_fft=256, hop_length=64, n_mels=60, n_mfcc=32, MSE=4710.44189453125, Threshold=95.98740482330322
INFO:root:Trial 47: n_fft=256, hop_length=64, n_mels=70, n_mfcc=48, MSE=3661.517333984375, Threshold=85.82911586761475
INFO:root:Trial 48: n_fft=256, hop_length=64, n_mels=80, n_mfcc=60, MSE=3346.177490234375, Threshold=82.73333501815796
INFO:root:Trial 49: n_fft=256, hop_length=64, n_mels=110, n_mfcc=12, MSE=22981.80859375, Threshold=201.91790580749512
INFO:root:Trial 0: n_fft=1024, hop_length=512, n_mels=60, n_mfcc=56, MSE=2692.49462890625, Threshold=54.18545126914978
INFO:root:Trial 1: n_fft=512, hop_length=170, n_mels=100, n_mfcc=20, MSE=12541.1416015625, Threshold=135.44968605041504
INFO:root:Trial 2: n_fft=512, hop_length=256, n_mels=20, n_mfcc=16, MSE=3154.20166015625, Threshold=65.58400440216064
INFO:root:Trial 3: n_fft=2048, hop_length=682, n_mels=50, n_mfcc=52, MSE=2515.36669921875, Threshold=42.56577008962631
INFO:root:Trial 4: n_fft=256, hop_length=128, n_mels=70, n_mfcc=24, MSE=7322.83740234375, Threshold=118.6094970703125
INFO:root:Trial 5: n_fft=256, hop_length=128, n_mels=120, n_mfcc=56, MSE=5372.54150390625, Threshold=105.19953680038452
INFO:root:Trial 6: n_fft=4096, hop_length=1365, n_mels=40, n_mfcc=60, MSE=2518.116455078125, Threshold=34.324000269174576
INFO:root:Trial 7: n_fft=256, hop_length=128, n_mels=70, n_mfcc=36, MSE=4881.9501953125, Threshold=98.1608476638794
INFO:root:Trial 8: n_fft=2048, hop_length=1024, n_mels=90, n_mfcc=28, MSE=8065.8193359375, Threshold=76.17632031440735
INFO:root:Trial 9: n_fft=8192, hop_length=2730, n_mels=90, n_mfcc=48, MSE=4705.27294921875, Threshold=37.38640892505646
INFO:root:Trial 10: n_fft=2048, hop_length=512, n_mels=40, n_mfcc=44, MSE=2517.9794921875, Threshold=42.43609130382538
INFO:root:Trial 11: n_fft=2048, hop_length=512, n_mels=40, n_mfcc=44, MSE=2517.9794921875, Threshold=42.43609130382538
INFO:root:Trial 12: n_fft=2048, hop_length=512, n_mels=40, n_mfcc=44, MSE=2517.9794921875, Threshold=42.43609130382538
INFO:root:Trial 13: n_fft=2048, hop_length=512, n_mels=20, n_mfcc=48, MSE=2526.248046875, Threshold=41.90137755870819
INFO:root:Trial 14: n_fft=2048, hop_length=512, n_mels=50, n_mfcc=36, MSE=3493.5517578125, Threshold=49.94848954677582
INFO:root:Trial 15: n_fft=1024, hop_length=341, n_mels=30, n_mfcc=40, MSE=2520.37353515625, Threshold=51.80713963508606
INFO:root:Trial 16: n_fft=8192, hop_length=2730, n_mels=60, n_mfcc=52, MSE=2899.81005859375, Threshold=29.192228376865387
INFO:root:Trial 17: n_fft=2048, hop_length=512, n_mels=50, n_mfcc=32, MSE=3930.240966796875, Threshold=53.042521595954895
INFO:root:Trial 18: n_fft=4096, hop_length=1365, n_mels=80, n_mfcc=60, MSE=3347.15625, Threshold=39.746211756020784
INFO:root:Trial 19: n_fft=2048, hop_length=512, n_mels=30, n_mfcc=52, MSE=2521.1630859375, Threshold=42.385385155677795
INFO:root:Trial 20: n_fft=2048, hop_length=682, n_mels=60, n_mfcc=40, MSE=3769.636474609375, Threshold=52.0221928358078
INFO:root:Trial 21: n_fft=2048, hop_length=512, n_mels=40, n_mfcc=44, MSE=2517.9794921875, Threshold=42.43609130382538
INFO:root:Trial 22: n_fft=2048, hop_length=512, n_mels=50, n_mfcc=44, MSE=2858.367431640625, Threshold=45.275301814079285
INFO:root:Trial 23: n_fft=2048, hop_length=512, n_mels=30, n_mfcc=48, MSE=2521.1630859375, Threshold=42.385385155677795
INFO:root:Trial 24: n_fft=2048, hop_length=682, n_mels=40, n_mfcc=52, MSE=2517.9716796875, Threshold=42.46330165863037
INFO:root:Trial 25: n_fft=512, hop_length=170, n_mels=50, n_mfcc=52, MSE=2514.646728515625, Threshold=61.76270031929016
INFO:root:Trial 26: n_fft=512, hop_length=170, n_mels=60, n_mfcc=56, MSE=2692.1650390625, Threshold=64.14108228683472
INFO:root:Trial 27: n_fft=512, hop_length=170, n_mels=50, n_mfcc=52, MSE=2514.646728515625, Threshold=61.76270031929016
INFO:root:Trial 28: n_fft=512, hop_length=170, n_mels=80, n_mfcc=60, MSE=3346.681884765625, Threshold=71.87400889396667
INFO:root:Trial 29: n_fft=512, hop_length=170, n_mels=60, n_mfcc=56, MSE=2692.1650390625, Threshold=64.14108228683472
INFO:root:Trial 30: n_fft=1024, hop_length=341, n_mels=50, n_mfcc=52, MSE=2515.071533203125, Threshold=52.31387484073639
INFO:root:Trial 31: n_fft=1024, hop_length=341, n_mels=50, n_mfcc=52, MSE=2515.071533203125, Threshold=52.31387484073639
INFO:root:Trial 32: n_fft=1024, hop_length=341, n_mels=50, n_mfcc=56, MSE=2515.071533203125, Threshold=52.31387484073639
INFO:root:Trial 33: n_fft=1024, hop_length=341, n_mels=60, n_mfcc=48, MSE=3141.175537109375, Threshold=58.43497347831726
INFO:root:Trial 34: n_fft=1024, hop_length=341, n_mels=30, n_mfcc=52, MSE=2520.37353515625, Threshold=51.80713963508606
INFO:root:Trial 35: n_fft=512, hop_length=170, n_mels=70, n_mfcc=40, MSE=4394.5458984375, Threshold=81.40170383453369
INFO:root:Trial 36: n_fft=1024, hop_length=512, n_mels=50, n_mfcc=60, MSE=2515.1591796875, Threshold=52.26926839351654
INFO:root:Trial 37: n_fft=512, hop_length=170, n_mels=120, n_mfcc=16, MSE=18802.439453125, Threshold=163.75220203399658
INFO:root:Trial 38: n_fft=1024, hop_length=341, n_mels=20, n_mfcc=56, MSE=2524.526123046875, Threshold=50.95439600944519
INFO:root:Trial 39: n_fft=512, hop_length=256, n_mels=80, n_mfcc=12, MSE=16731.126953125, Threshold=151.02419471740723
INFO:root:Trial 40: n_fft=1024, hop_length=341, n_mels=110, n_mfcc=52, MSE=5305.06640625, Threshold=76.47712349891663
INFO:root:Trial 41: n_fft=1024, hop_length=341, n_mels=50, n_mfcc=56, MSE=2515.071533203125, Threshold=52.31387484073639
INFO:root:Trial 42: n_fft=1024, hop_length=341, n_mels=50, n_mfcc=56, MSE=2515.071533203125, Threshold=52.31387484073639
INFO:root:Trial 43: n_fft=256, hop_length=85, n_mels=70, n_mfcc=48, MSE=3661.5, Threshold=85.84833717346191
INFO:root:Trial 44: n_fft=4096, hop_length=1365, n_mels=60, n_mfcc=60, MSE=2513.15185546875, Threshold=34.29906003177166
INFO:root:Trial 45: n_fft=4096, hop_length=2048, n_mels=60, n_mfcc=60, MSE=2513.158935546875, Threshold=34.46657329052687
INFO:root:Trial 46: n_fft=4096, hop_length=2048, n_mels=60, n_mfcc=60, MSE=2513.158935546875, Threshold=34.46657329052687
INFO:root:Trial 47: n_fft=4096, hop_length=2048, n_mels=70, n_mfcc=60, MSE=2930.04248046875, Threshold=37.29130122810602
INFO:root:Trial 48: n_fft=4096, hop_length=2048, n_mels=60, n_mfcc=60, MSE=2513.158935546875, Threshold=34.46657329052687
INFO:root:Trial 49: n_fft=4096, hop_length=2048, n_mels=60, n_mfcc=60, MSE=2513.158935546875, Threshold=34.46657329052687
INFO:root:Trial 0: n_fft=1024, hop_length=256, n_mels=40, n_mfcc=36, MSE=2797.253173828125, Threshold=54.722123861312866
INFO:root:Trial 1: n_fft=512, hop_length=128, n_mels=40, n_mfcc=68, MSE=2516.814697265625, Threshold=61.31804943084717
INFO:root:Trial 2: n_fft=2048, hop_length=682, n_mels=150, n_mfcc=68, MSE=5528.134765625, Threshold=63.93785858154297
INFO:root:Trial 3: n_fft=2048, hop_length=682, n_mels=90, n_mfcc=88, MSE=2566.417724609375, Threshold=43.545847058296204
INFO:root:Trial 0: n_fft=1024, hop_length=512, n_mels=140, n_mfcc=72, MSE=4873.78125, Threshold=73.91784167289734
INFO:root:Trial 1: n_fft=1024, hop_length=512, n_mels=100, n_mfcc=64, MSE=3919.61767578125, Threshold=65.9020848274231
INFO:root:Trial 0: n_fft=1024, hop_length=341, n_mels=40, n_mfcc=40, MSE=2517.4931640625, Threshold=52.06598925590515
INFO:root:Trial 1: n_fft=2048, hop_length=1024, n_mels=60, n_mfcc=48, MSE=3141.424560546875, Threshold=47.51314580440521
INFO:root:Trial 2: n_fft=1024, hop_length=341, n_mels=100, n_mfcc=76, MSE=3300.648193359375, Threshold=60.7713006734848
INFO:root:Trial 3: n_fft=512, hop_length=128, n_mels=160, n_mfcc=40, MSE=10023.0693359375, Threshold=124.11125040054321
INFO:root:Trial 4: n_fft=2048, hop_length=682, n_mels=110, n_mfcc=92, MSE=2998.54931640625, Threshold=47.17426389455795
INFO:root:Trial 5: n_fft=2048, hop_length=1024, n_mels=100, n_mfcc=32, MSE=7839.23779296875, Threshold=75.1541657447815
INFO:root:Trial 6: n_fft=1024, hop_length=341, n_mels=50, n_mfcc=48, MSE=2619.866455078125, Threshold=53.34929585456848
INFO:root:Trial 7: n_fft=1024, hop_length=341, n_mels=130, n_mfcc=24, MSE=13578.3955078125, Threshold=120.98527336120605
INFO:root:Trial 8: n_fft=2048, hop_length=1024, n_mels=60, n_mfcc=56, MSE=2692.65234375, Threshold=44.03700762987137
INFO:root:Trial 9: n_fft=512, hop_length=170, n_mels=50, n_mfcc=44, MSE=2857.54931640625, Threshold=65.61972117424011
INFO:root:Trial 10: n_fft=1024, hop_length=256, n_mels=80, n_mfcc=12, MSE=16732.375, Threshold=130.05402851104736
INFO:root:Trial 11: n_fft=1024, hop_length=256, n_mels=40, n_mfcc=68, MSE=2517.529296875, Threshold=52.02299237251282
INFO:root:Trial 12: n_fft=1024, hop_length=256, n_mels=40, n_mfcc=72, MSE=2517.529296875, Threshold=52.02299237251282
INFO:root:Trial 13: n_fft=1024, hop_length=256, n_mels=80, n_mfcc=72, MSE=2789.2236328125, Threshold=55.62313139438629
INFO:root:Trial 14: n_fft=1024, hop_length=256, n_mels=40, n_mfcc=64, MSE=2517.529296875, Threshold=52.02299237251282
INFO:root:Trial 15: n_fft=1024, hop_length=341, n_mels=70, n_mfcc=96, MSE=2511.3916015625, Threshold=52.70642936229706
INFO:root:Trial 16: n_fft=512, hop_length=170, n_mels=80, n_mfcc=96, MSE=2510.020263671875, Threshold=62.67787051200867
INFO:root:Trial 17: n_fft=512, hop_length=256, n_mels=80, n_mfcc=100, MSE=2510.098876953125, Threshold=62.68104934692383
INFO:root:Trial 18: n_fft=512, hop_length=256, n_mels=120, n_mfcc=84, MSE=3581.86279296875, Threshold=75.38526701927185
INFO:root:Trial 19: n_fft=512, hop_length=256, n_mels=90, n_mfcc=100, MSE=2509.265380859375, Threshold=62.93918585777283
INFO:root:Trial 20: n_fft=512, hop_length=256, n_mels=90, n_mfcc=84, MSE=2688.497802734375, Threshold=65.06080079078674
INFO:root:Trial 21: n_fft=512, hop_length=256, n_mels=80, n_mfcc=100, MSE=2510.098876953125, Threshold=62.68104934692383
INFO:root:Trial 22: n_fft=512, hop_length=256, n_mels=90, n_mfcc=88, MSE=2566.2939453125, Threshold=63.62412643432617
INFO:root:Trial 23: n_fft=512, hop_length=256, n_mels=130, n_mfcc=96, MSE=3394.5751953125, Threshold=73.65737700462341
INFO:root:Trial 24: n_fft=512, hop_length=256, n_mels=70, n_mfcc=100, MSE=2511.299072265625, Threshold=62.38981246948242
INFO:root:Trial 25: n_fft=512, hop_length=256, n_mels=90, n_mfcc=80, MSE=2822.92138671875, Threshold=66.59304857254028
INFO:root:Trial 26: n_fft=512, hop_length=170, n_mels=110, n_mfcc=92, MSE=2998.318603515625, Threshold=69.02853202819824
INFO:root:Trial 27: n_fft=512, hop_length=256, n_mels=70, n_mfcc=100, MSE=2511.299072265625, Threshold=62.38981246948242
INFO:root:Trial 28: n_fft=512, hop_length=170, n_mels=150, n_mfcc=88, MSE=4271.60107421875, Threshold=82.63903164863586
INFO:root:Trial 29: n_fft=512, hop_length=256, n_mels=90, n_mfcc=64, MSE=3528.642333984375, Threshold=74.06035470962524
INFO:root:Trial 30: n_fft=512, hop_length=170, n_mels=110, n_mfcc=80, MSE=3448.060546875, Threshold=73.80542373657227
INFO:root:Trial 31: n_fft=512, hop_length=256, n_mels=70, n_mfcc=100, MSE=2511.299072265625, Threshold=62.38981246948242
INFO:root:Trial 32: n_fft=512, hop_length=256, n_mels=80, n_mfcc=92, MSE=2510.098876953125, Threshold=62.68104934692383
INFO:root:Trial 33: n_fft=512, hop_length=256, n_mels=60, n_mfcc=100, MSE=2512.80859375, Threshold=62.077207803726196
INFO:root:Trial 34: n_fft=512, hop_length=256, n_mels=100, n_mfcc=88, MSE=2850.506591796875, Threshold=67.13733506202698
INFO:root:Trial 35: n_fft=2048, hop_length=1024, n_mels=80, n_mfcc=96, MSE=2510.34228515625, Threshold=42.888493716716766
INFO:root:Trial 36: n_fft=512, hop_length=256, n_mels=100, n_mfcc=92, MSE=2726.572509765625, Threshold=65.71583580970764
INFO:root:Trial 37: n_fft=512, hop_length=170, n_mels=80, n_mfcc=84, MSE=2510.020263671875, Threshold=62.67787051200867
INFO:root:Trial 38: n_fft=2048, hop_length=682, n_mels=90, n_mfcc=80, MSE=2823.058349609375, Threshold=45.62231773138046
INFO:root:Trial 39: n_fft=512, hop_length=170, n_mels=60, n_mfcc=84, MSE=2512.688232421875, Threshold=62.07461643218994
INFO:root:Trial 40: n_fft=2048, hop_length=682, n_mels=120, n_mfcc=56, MSE=5372.84130859375, Threshold=62.71955680847168
INFO:root:Trial 41: n_fft=512, hop_length=170, n_mels=80, n_mfcc=96, MSE=2510.020263671875, Threshold=62.67787051200867
INFO:root:Trial 42: n_fft=512, hop_length=170, n_mels=70, n_mfcc=96, MSE=2511.194580078125, Threshold=62.38966751098633
INFO:root:Trial 43: n_fft=512, hop_length=170, n_mels=80, n_mfcc=92, MSE=2510.020263671875, Threshold=62.67787051200867
INFO:root:Trial 44: n_fft=512, hop_length=170, n_mels=50, n_mfcc=92, MSE=2514.646728515625, Threshold=61.76270031929016
INFO:root:Trial 45: n_fft=512, hop_length=170, n_mels=100, n_mfcc=76, MSE=3300.468505859375, Threshold=72.00429606437683
INFO:root:Trial 46: n_fft=512, hop_length=170, n_mels=90, n_mfcc=88, MSE=2566.19873046875, Threshold=63.618900537490845
INFO:root:Trial 47: n_fft=512, hop_length=170, n_mels=70, n_mfcc=32, MSE=5493.14892578125, Threshold=90.56443548202515
INFO:root:Trial 48: n_fft=2048, hop_length=512, n_mels=60, n_mfcc=84, MSE=2513.10546875, Threshold=42.610881984233856
